"HolderAddress","Quantity","PendingBalanceUpdate"
"0xeca4ba41913ca2867180c37d80991f916346b68d","1475","No"
"0xb972dcea7870a5f97662091902746cbfb7af0e06","222","No"
"0x20465a99a77426ee1810d81d06d0bcee94afc4ea","120","No"
"0xdb3a84e7b371d021cf23690f513fc78c4e284dc4","100","No"
"0xf3b8b9ef2a57183bf6236faedcccc9f93ff472c6","85","No"
"0xc92eaeff3f3eeb4347675d34625ba29c05c67bbb","63","No"
"0x23f8c7db7a1b656652e9726ab264c5b181418b9f","58","No"
"0xb2d2ecc7d94cfb8e70f60aeb97bf7f4c4cb8ef28","56","No"
"0x7020f74bc01f9a26b97130522c7b0fed7f20ebeb","50","No"
"0x6b01bf395d84a0815c130a46cfa28bdeea4922aa","40","No"
"0x532ffb08114bf840ac4e0b22acea7d0ade1a18c6","39","No"
"0xeb0a85184f23d325593a5df0db3b82e823b52ff3","35","No"
"0x7e4a82326dcb5f40851dcf67b145a3ee68fb1d19","31","No"
"0x8ae25a7b964c92a10303c45bd76bd8e441a428bf","30","No"
"0x073e0ffb23fe7cf918efa23ac1e2b07f23654e67","30","No"
"0x44a30bda2bd9d27a1d5f1cef33a1bbe9969445b5","30","No"
"0xd0fffef55f43cc03abc84f59d24cd1f50de21aef","26","No"
"0x8ae212fa8255d5d5a0821ed605f1ea5fbeeab3a8","25","No"
"0x8f804dec80028cb5bbc5537762b27629a4ab6c94","24","No"
"0x7847b1c8ad03a188036dea54ce7847fb418e9217","24","No"
"0x302efe698e7de77326079eb78fb2a5800a157f67","21","No"
"0x1e3230d8c4d54bab2148a4cb493cefee7a61e7aa","20","No"
"0xff2c13a2d71a4d3b70f4086dc17b4aa6c075efde","20","No"
"0xc03c94708be1626ef210c8bb1f59282b7cfd9027","18","No"
"0xd163604d6b189aaebca5a07b52ec9ef8dc452be0","18","No"
"0xaef13d00ccee53a01e9caea8ccd47836f3e5bb04","18","No"
"0x68663fb06b6e718e7026aa1c2ddbc4e97ccd6c5c","18","No"
"0x5d20382abe902bc77b7e80496af3dad37f308dc2","18","No"
"0x720fec086d1ee3378f5e724f3dcf1dfcd80f5ee2","17","No"
"0x867438755b38b42b40928c72b4b92dea7b5dd007","15","No"
"0x0319cd0ac071abcb479c0bee32ad6b28d8a79083","15","No"
"0x073c332ced8b9c6e73b3d3ef4ee6f0862fff3549","13","No"
"0xa7a6351ff451d1dcc2e7ac2b1ca1cbbe765507be","13","No"
"0x03e4ae853fa5bc1a75be2128638a4d737d97d34a","12","No"
"0xf8a3cbc156996f0fbde3c345eefe3fee4a9e5853","12","No"
"0x16be2582ad35aa56a8a247c61ab0cb7b9ac8fe19","12","No"
"0x17585b625889befc32d6b9f538b54f9c6d1fb1c2","11","No"
"0xacbc9bf12851fc342edc84647580a18b469f90d3","10","No"
"0x91d00b76fb2633b811c69a56c062268e58bab1e1","10","No"
"0x4b05fee30ba471941ed1fd6fb3f68bcdfecfc036","10","No"
"0x171cc3ddae5825b707ad072fd640fcaac1c0e36d","10","No"
"0x7f448f0435803744bcda76afed4f17b0a6e0fb23","10","No"
"0x6591f99f9b36f3c1a7414516c6aab23ed1419b94","10","No"
"0x5c8db48e6addcb54f17e43f7e9a82c50225cef0e","10","No"
"0x087886a2aa1e263bd72eb67a365d268a3e13c85b","9","No"
"0xa4a4d61f63d909421679738f0262b52534dfc467","9","No"
"0x8836081e0489dff0533c724df16d6d1bbdaca846","9","No"
"0xa6f95ffa23ca53d33390f3ad6d1da06f8a456ccf","8","No"
"0xb5ecff4a5dfc9dceed865c84431e132a16f6704a","8","No"
"0x539cf6a3953c14d3dc3ad39930955a72b22a204a","8","No"
"0xa2ad6ceffb4f3709305e795fa5a7eff98fcc5034","8","No"
"0x9bab0ab663e4668c5f11987187a25756020c18c6","8","No"
"0x16ad81285cc81f046005891f250fc39580397946","8","No"
"0x2c1851a9a96a92ff0022e2c69c337dbde0e778c5","8","No"
"0xb032070e019fcd513b8651193a4e4edf7e75fc42","8","No"
"0x745dd471cbe8e510f787f5f4de527a7cdc34534d","7","No"
"0x696a136ade074d9db7b28a78dd81ae9b633cc657","7","No"
"0x565a7a06827d9cf218a7350209f9115b2056da79","7","No"
"0xdd1ecae49312f5a2fef65d13327e92d32864fdee","7","No"
"0x14c9cce7211335687b881bc26e49f113229f11da","6","No"
"0x7f42b05d004a9c9656633cd660bd033640a549da","6","No"
"0xc265a526f733d4554740ea7d6c846e7263020685","6","No"
"0x25c59677f83cc6d0b7af2159af6b8b873b5fa4ce","6","No"
"0xcf0c19baf291b578383ba758c7d3cff0b2fce371","6","No"
"0x0f25c5ac5cbed4ff15aab4ca3639f87a453b9ab8","6","No"
"0x18579a64cc4e6c130f22c2211c5d223e5bd83203","6","No"
"0xe033080a0486898af493fd8430ef33aa64c417b5","6","No"
"0x7abcbfb986bfca6714c49f46dc108f55f453600f","6","No"
"0xa959cac45da7ae1feff63c915b29664011ad924e","6","No"
"0x1b2dab8062e1d7ea6d6bff01ae297fede19e3125","6","No"
"0xb346c28592498c8357f9e88474b486a9c5d49274","6","No"
"0xfc1dceb7648510b54cd3f0e19288a1def9699833","6","No"
"0xbea53150ba97f4a0ed0aa50e0e8c97453cf8cd93","6","No"
"0xb28a151403e4c1b17642ec4488d0058b8498d77b","6","No"
"0x2a138e24cf857f189826600463c05d0cac5aeede","6","No"
"0x968af8c01d117ac36abcd1374eee7799bf53cf42","6","No"
"0xfe535192bd5cd07eb2a5cd14e9b442396f4ff9a8","6","No"
"0xcb06bede7cb0a4b333581b6bdcd05f7cc737b9cc","6","No"
"0x47d722652d85be004aaf2fd7edeed9832e1341c7","6","No"
"0x9177dfaffe15d5d4a4dcac5582cd829b79a407b8","6","No"
"0x956f0602b7725cd5edf7b366c7b87a9327522466","6","No"
"0xc77b9a1efda8f3d87022cc8d323225a5a67fa902","6","No"
"0xea69ca2ca84d22e3f53bfd3c6d4e9be18da6402f","6","No"
