"HolderAddress","Quantity","PendingBalanceUpdate"
"0xeca4ba41913ca2867180c37d80991f916346b68d","500","No"
"0xac6b7cacc01a811fc7577b8f9e40755cb572956e","54","No"
"0xcbc69338c98887ddf680da64bf2495855e3a7218","24","No"
"0x55d51a0346706e5c7d0ba731365c6488055a55ff","15","No"
"0x116e089d643e50f9395d34ca3ac45bc0680558f8","13","No"
"0xd6a6e5bcd43caf9d8702a151f53b1f07aa1765f7","12","No"
"0x17585b625889befc32d6b9f538b54f9c6d1fb1c2","11","No"
"0xacbc9bf12851fc342edc84647580a18b469f90d3","11","No"
"0x6591f99f9b36f3c1a7414516c6aab23ed1419b94","10","No"
"0xf8a3cbc156996f0fbde3c345eefe3fee4a9e5853","9","No"
"0xf99b11016b4e9ab00226446af3715610359fa8cd","9","No"
"0x2469c0e2683e6d42a6ee33264238dcab2aa69385","8","No"
"0x6b01bf395d84a0815c130a46cfa28bdeea4922aa","8","No"
"0xf3b8b9ef2a57183bf6236faedcccc9f93ff472c6","7","No"
"0x03e4ae853fa5bc1a75be2128638a4d737d97d34a","6","No"
"0x087886a2aa1e263bd72eb67a365d268a3e13c85b","6","No"
"0x0caa59a005a63faba66973d4c1dd447fc2951f36","6","No"
"0x0f25c5ac5cbed4ff15aab4ca3639f87a453b9ab8","6","No"
"0x14273493f5e508ff7c002e532aa7c4829660e18c","6","No"
"0x14c9cce7211335687b881bc26e49f113229f11da","6","No"
"0x18579a64cc4e6c130f22c2211c5d223e5bd83203","6","No"
"0x1b2dab8062e1d7ea6d6bff01ae297fede19e3125","6","No"
"0x1b4862f983aa573518b612f1bb1579f4b02796cb","6","No"
"0x1bbda612525d0361a0c46fc001830a6e0ddb7eaa","6","No"
"0x25c59677f83cc6d0b7af2159af6b8b873b5fa4ce","6","No"
"0x2a138e24cf857f189826600463c05d0cac5aeede","6","No"
"0x2c3b13132866fdccd0ac5b4fb44202e71d2800bd","6","No"
"0x2f607801945c0af57f95f297986f7333b85d379c","6","No"
"0x302efe698e7de77326079eb78fb2a5800a157f67","6","No"
"0x39a25b5281b1433f6bf1e1dad3f6f1c21fdc480d","6","No"
"0x44106f46071404b40ceeace29babed315340d063","6","No"
"0x47d722652d85be004aaf2fd7edeed9832e1341c7","6","No"
"0x5d63c31d99e5ce6419ddf59ae93866fca252b46d","6","No"
"0x693d8730ecfc65edbe3c92d29f1d2866e8c4f712","6","No"
"0x6a9065271055e710116209c8032d2e18e42535a7","6","No"
"0x6e1439897528baf2d3da007585836a64298ff854","6","No"
"0x72fae93d08a060a7f0a8919708c0db74ca46cbb6","6","No"
"0x7847b1c8ad03a188036dea54ce7847fb418e9217","6","No"
"0x7abcbfb986bfca6714c49f46dc108f55f453600f","6","No"
"0x7af61c34e9974b6d821e791a006e564800de30b1","6","No"
"0x7f42b05d004a9c9656633cd660bd033640a549da","6","No"
"0x83bff380d2c59f88f3132542fb23b40afcf361d7","6","No"
"0x88b87218f6e0981e238311471b1731e5d5b2a4df","6","No"
"0x8f5c93fa0cb590a3ece33d0a2ee638ed0921b347","6","No"
"0x8f804dec80028cb5bbc5537762b27629a4ab6c94","6","No"
"0x9177dfaffe15d5d4a4dcac5582cd829b79a407b8","6","No"
"0x91d00b76fb2633b811c69a56c062268e58bab1e1","6","No"
"0x925e7aae0afc6dc1690ac6b82b7e6c8042338a2a","6","No"
"0x956f0602b7725cd5edf7b366c7b87a9327522466","6","No"
"0x957291eae3d53b5a7c0a6bf2c0f08de5d87b14f6","6","No"
"0x968af8c01d117ac36abcd1374eee7799bf53cf42","6","No"
"0x993c58334d210a0c3be916d144caf2464ae36723","6","No"
"0x9c6575574e47d9d9a8e6f6a3436da9b15931975d","6","No"
"0x9de565a7795e5e5dabdcc12feb0a3229bef9d066","6","No"
"0xa35b7895dbe1be425111b7bac91232497196fe89","6","No"
"0xa6f95ffa23ca53d33390f3ad6d1da06f8a456ccf","6","No"
"0xa959cac45da7ae1feff63c915b29664011ad924e","6","No"
"0xa9694dd9ab411209c1eb86e6e16106f47be1e759","6","No"
"0xb28a151403e4c1b17642ec4488d0058b8498d77b","6","No"
"0xb2d2ecc7d94cfb8e70f60aeb97bf7f4c4cb8ef28","6","No"
"0xb346c28592498c8357f9e88474b486a9c5d49274","6","No"
"0xba0eaa19f49ca94bf28e27968f54d4abf8936b9f","6","No"
"0xbb68cfa68ec8ac9c397c5e97d5fc4d33009f8ac0","6","No"
"0xbc23db91a554ef74648c3d751da99388a8828908","6","No"
"0xbe7477f91cda5a3cfde46ca6e2d8fe8a1c51161c","6","No"
"0xc265a526f733d4554740ea7d6c846e7263020685","6","No"
"0xc77b9a1efda8f3d87022cc8d323225a5a67fa902","6","No"
"0xc875ec84448bb026aab70ce52d28b3091eb65e82","6","No"
"0xcb06bede7cb0a4b333581b6bdcd05f7cc737b9cc","6","No"
"0xcb6e63792e2e55a0158fb6733550fe83c06db080","6","No"
"0xcf0c19baf291b578383ba758c7d3cff0b2fce371","6","No"
"0xdb3a84e7b371d021cf23690f513fc78c4e284dc4","6","No"
"0xdd8b4fe3a3bdeb036ac54a696eab538cc5266a1c","6","No"
"0xe033080a0486898af493fd8430ef33aa64c417b5","6","No"
"0xeb546f8dece2463b7ee9c5a09bf2f741ec705daa","6","No"
"0xf7be956cda32859979772b06fa5764293cfa0dbe","6","No"
"0xf7fa2b9ccee29d6d760377d040e6ef92bf9b09ff","6","No"
"0xfc1dceb7648510b54cd3f0e19288a1def9699833","6","No"
"0xfe535192bd5cd07eb2a5cd14e9b442396f4ff9a8","6","No"
"0x1aae1bc09e1785c8cb00650db0c6015bd73b0c7e","5","No"
"0x28018c45568c96a7af5bcc51fb0687808f31dfed","5","No"
"0x5c84ed9f16a3d83c27cadae36a74aa152f9d8e4a","5","No"
"0x72703b554a7089f93ff1fc6cc6c0e623900a7b80","5","No"
"0x75872c384475117e8c19ba27e1fbe8473af9ebc5","5","No"
"0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459","5","No"
"0xd6418502e12ff5035da103ba803b20a3de62db3e","5","No"
"0x064f5692b711fe69cc10ef3848ba659b8b6dcefa","4","No"
"0x0764f984d93df2bf47b75e870984c480e3db6ab5","4","No"
"0x087f922032e38308835e2736acfadb7857ee4b8d","4","No"
"0x0ffade3d9175f11ffb0b40f44e78832784dbe808","4","No"
"0x1e3230d8c4d54bab2148a4cb493cefee7a61e7aa","4","No"
"0x26a6f7f767aa8b3055e5d023be23d3bf7242f4f6","4","No"
"0x3c0a3d1994c567fd4bf17dc5858ec84ff1f87501","4","No"
"0x430d553c967ec200045a60951ef5dab3cde95548","4","No"
"0x6d7cc1045bb46e1c697f4d3db88df3e2453e8c5b","4","No"
"0x745dd471cbe8e510f787f5f4de527a7cdc34534d","4","No"
"0xbce3bd3b206946abbe094903ae2b4244b52fb4e9","4","No"
"0xc03c94708be1626ef210c8bb1f59282b7cfd9027","4","No"
"0xc3350ad1d08f85acab2025657fbee18c1c98cce1","4","No"
"0xe40ae4e6c71408b25b7d2a119c41f1f56ef27e0e","4","No"
"0xf6b60b7d8933ade621c89af9f9d9ea8c721b049f","4","No"
"0xfb526650124b2cb666fae7c5335e5b6d0cb823a2","4","No"
"0x01535764501ae1dccd6a7a4452e1368e4a32c83b","3","No"
"0x0374c2a8ab9fd2b23305f168ee2a512e9bbd3094","3","No"
"0x058273c8b3d8ac061cb4599ba816c4807c42c838","3","No"
"0x05a8810bf69a6d9496497a364f1e21e855187f95","3","No"
"0x073c332ced8b9c6e73b3d3ef4ee6f0862fff3549","3","No"
"0x073e0ffb23fe7cf918efa23ac1e2b07f23654e67","3","No"
"0x07ad4d3f9b0efc16d6f3598dd360de89b76b40d3","3","No"
"0x08046e2349017615d53d3977c307d39ab4eeb3cf","3","No"
"0x0813290698e0fe46fbeca7974c598920c35d27fa","3","No"
"0x091de5198b3fa9621fbf2a736bc8dd97baa47ca2","3","No"
"0x0955476b9daec02653e688b865660ca5417faad4","3","No"
"0x0970b838d4d209b21de42ca52f7e0fe79811de26","3","No"
"0x0976042c0dbef8ca724dc5d2f3c3bfff1a23054a","3","No"
"0x098132fccb732f650071d6b281092df22d60c28e","3","No"
"0x0b57a971566ecfafc0dcd34b50641f6d18ecf80d","3","No"
"0x0b6d56b0aebcba43052e7c172de9754338fd3dd1","3","No"
"0x0bad329cb915575f2fc954da0f31a3ad06d0883d","3","No"
"0x0ca85b489a1276ef7042f1d032d0ef3831eaf4ca","3","No"
"0x0cb7d023f049585bdb6ea48733d2b94926f1ca60","3","No"
"0x0cf43674e2ff8aa07d904847f55e3c2afdc3a9fa","3","No"
"0x0d73aa5de89b309798f9fcbba8b86c4fd5f542fc","3","No"
"0x0dce30c769aa958023240c0404f83914a79e7b33","3","No"
"0x0e73d837b29ac157d072c946ad65d3fa9a5750ba","3","No"
"0x0edb635efdb162ff3ce1d63fdaf36e02f7e2bd82","3","No"
"0x0ee0e28ca9cdcb98960c38e909598a272c8fca95","3","No"
"0x0eeb1b4854252fa5e1defbf4c441315e2abd279a","3","No"
"0x0f916d6bccce8eb2fdf0cbef7dde2452fc55ba09","3","No"
"0x0fa1288c9eddfbcfb93f484e19bd2c7564f72368","3","No"
"0x0fc5529117edb4f728d0b8ff82b63fceb10869d0","3","No"
"0x105b7b1e87b4035eac42b8d7cf07b210f0284d33","3","No"
"0x10c1c5554d4ed417d1d3b0e9c7b08e057bc9cb3c","3","No"
"0x111e6bbd3ed469fe2cb26e79f4162e4dbddd2355","3","No"
"0x12b6d12a6b5d23804c94ec1e40e0df5e91bd0cc0","3","No"
"0x12e3a5b022b275ad14588ebf82dd99e8d5a4d300","3","No"
"0x13027f849d4bb4193b09ba380f0940f389e770b0","3","No"
"0x13b3ff6f1d996eaf36022ea2a92669e1371e46d7","3","No"
"0x1405d7e44400824de19b24c6333d0dfa2f241774","3","No"
"0x143dd81e2df9be0efb1fec28f934cbf3e398430d","3","No"
"0x14d87e292aa0e251ca50bf980b8ca54d4f2f2623","3","No"
"0x153d9db36b3590b7a14313724e66edaf50d235f0","3","No"
"0x15b383b0e83a1311a006567f6b330fba7ec26d88","3","No"
"0x15f118b55d5eb14cde53c0953f80bdd498d18736","3","No"
"0x16ad81285cc81f046005891f250fc39580397946","3","No"
"0x171cc3ddae5825b707ad072fd640fcaac1c0e36d","3","No"
"0x177cedede56c25174823424bec382df16bb03596","3","No"
"0x1793cf5ff43ed5171f74aefa634ac4df917db55d","3","No"
"0x17a50fc210ac1174c24e2d0910bcf78d94a9cf0b","3","No"
"0x18075f4f3fb3526e6e4d8f82c7464496d7c2cf9e","3","No"
"0x1885597ca499c1b460ef30248bdc5c28f5c75c93","3","No"
"0x188bf6eafb47605bc31bcf545aba257e4ffc61ea","3","No"
"0x190ec0d4acf97a2de0298f58d6b0e3033def5ec6","3","No"
